Ano,Mês,Grupo Mercadoria,Carga Ferroviária
2011,3,Outras Mercadorias,207053
2011,3,"Setor Agrícola, Extração Vegetal e Celulose",3905590
2011,3,"Combustíveis, Derivados do Petróleo e Álcool",815497
2011,3,"Indústria Siderúrgica, Cimento e Construção Civil",3996004
2011,4,"Setor Agrícola, Extração Vegetal e Celulose",4161598
2011,4,"Combustíveis, Derivados do Petróleo e Álcool",797170
2011,4,Outras Mercadorias,221935
2011,4,Minério de Ferro,26953907
2011,4,"Indústria Siderúrgica, Cimento e Construção Civil",3989648
2011,5,Minério de Ferro,28589401
2011,5,"Setor Agrícola, Extração Vegetal e Celulose",4441115
2011,5,"Combustíveis, Derivados do Petróleo e Álcool",855130
2011,5,"Indústria Siderúrgica, Cimento e Construção Civil",4189858
2011,5,Outras Mercadorias,211782
2011,6,"Combustíveis, Derivados do Petróleo e Álcool",834369
2011,6,Minério de Ferro,28141827
2011,6,Outras Mercadorias,205255
2011,6,"Setor Agrícola, Extração Vegetal e Celulose",4878392
2011,6,"Indústria Siderúrgica, Cimento e Construção Civil",4020277
2011,7,"Setor Agrícola, Extração Vegetal e Celulose",4523267
2011,7,Minério de Ferro,31581477
2011,7,Outras Mercadorias,226852
2011,7,"Combustíveis, Derivados do Petróleo e Álcool",845136
2011,7,"Indústria Siderúrgica, Cimento e Construção Civil",3575478
2011,8,"Setor Agrícola, Extração Vegetal e Celulose",5270318
2011,8,Outras Mercadorias,224737
2011,8,Minério de Ferro,31349003
2011,8,"Indústria Siderúrgica, Cimento e Construção Civil",3880459
2011,8,"Combustíveis, Derivados do Petróleo e Álcool",858252
2011,9,"Indústria Siderúrgica, Cimento e Construção Civil",4231386
2011,9,Outras Mercadorias,213411
2011,9,"Setor Agrícola, Extração Vegetal e Celulose",5033137
2011,9,"Combustíveis, Derivados do Petróleo e Álcool",857640
2011,9,Minério de Ferro,30172446
2011,10,Outras Mercadorias,231005
2011,10,"Setor Agrícola, Extração Vegetal e Celulose",4793524
2011,10,"Indústria Siderúrgica, Cimento e Construção Civil",4383286
2011,10,Minério de Ferro,31710027
2011,10,"Combustíveis, Derivados do Petróleo e Álcool",912725
2011,11,Minério de Ferro,29311390
2011,11,Outras Mercadorias,260478
2011,11,"Setor Agrícola, Extração Vegetal e Celulose",4320892
2011,11,"Indústria Siderúrgica, Cimento e Construção Civil",3823538
2011,11,"Combustíveis, Derivados do Petróleo e Álcool",861015
2011,12,Minério de Ferro,28614122
2011,12,"Setor Agrícola, Extração Vegetal e Celulose",3356416
2011,12,Outras Mercadorias,194077
2011,12,"Indústria Siderúrgica, Cimento e Construção Civil",4481496
2011,12,"Combustíveis, Derivados do Petróleo e Álcool",881195
2012,1,"Indústria Siderúrgica, Cimento e Construção Civil",3478647
2012,1,Outras Mercadorias,197160
2012,1,"Setor Agrícola, Extração Vegetal e Celulose",2547472
2012,1,Minério de Ferro,24251012
2012,1,"Combustíveis, Derivados do Petróleo e Álcool",794607
2012,2,"Setor Agrícola, Extração Vegetal e Celulose",3668021
2012,2,Outras Mercadorias,203435
2012,2,Minério de Ferro,26474691
2012,2,"Combustíveis, Derivados do Petróleo e Álcool",758990
2012,2,"Indústria Siderúrgica, Cimento e Construção Civil",3516154
